"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1400000US36001000100","Census Tract 1; Albany County; New York","44547","11199",
"1400000US36001000201","Census Tract 2.01; Albany County; New York","33688","15913",
"1400000US36001000202","Census Tract 2.02; Albany County; New York","32585","9803",
"1400000US36001000301","Census Tract 3.01; Albany County; New York","43214","12286",
"1400000US36001000302","Census Tract 3.02; Albany County; New York","50875","22478",
"1400000US36001000401","Census Tract 4.01; Albany County; New York","76641","16136",
"1400000US36001000403","Census Tract 4.03; Albany County; New York","77468","22218",
"1400000US36001000404","Census Tract 4.04; Albany County; New York","108750","96232",
"1400000US36001000501","Census Tract 5.01; Albany County; New York","16585","3628",
"1400000US36001000502","Census Tract 5.02; Albany County; New York","60174","17263",
"1400000US36001000600","Census Tract 6; Albany County; New York","22417","6260",
"1400000US36001000700","Census Tract 7; Albany County; New York","44811","4449",
"1400000US36001000800","Census Tract 8; Albany County; New York","29188","17519",
"1400000US36001001100","Census Tract 11; Albany County; New York","46701","9132",
"1400000US36001001400","Census Tract 14; Albany County; New York","63211","5885",
"1400000US36001001500","Census Tract 15; Albany County; New York","37384","28107",
"1400000US36001001600","Census Tract 16; Albany County; New York","59795","9018",
"1400000US36001001700","Census Tract 17; Albany County; New York","80965","14520",
"1400000US36001001802","Census Tract 18.02; Albany County; New York","63942","14974",
"1400000US36001001803","Census Tract 18.03; Albany County; New York","105972","31235",
"1400000US36001001804","Census Tract 18.04; Albany County; New York","101898","14662",
"1400000US36001001901","Census Tract 19.01; Albany County; New York","85611","16368",
"1400000US36001001902","Census Tract 19.02; Albany County; New York","94550","19948",
"1400000US36001002000","Census Tract 20; Albany County; New York","72370","13037",
"1400000US36001002100","Census Tract 21; Albany County; New York","36569","10774",
"1400000US36001002200","Census Tract 22; Albany County; New York","42941","9162",
"1400000US36001002300","Census Tract 23; Albany County; New York","41949","17827",
"1400000US36001002500","Census Tract 25; Albany County; New York","31115","7841",
"1400000US36001002600","Census Tract 26; Albany County; New York","64359","11379",
"1400000US36001012700","Census Tract 127; Albany County; New York","73266","20839",
"1400000US36001012800","Census Tract 128; Albany County; New York","37748","9415",
"1400000US36001012900","Census Tract 129; Albany County; New York","59347","4313",
"1400000US36001013000","Census Tract 130; Albany County; New York","82197","6013",
"1400000US36001013100","Census Tract 131; Albany County; New York","64018","19758",
"1400000US36001013200","Census Tract 132; Albany County; New York","45688","14458",
"1400000US36001013300","Census Tract 133; Albany County; New York","42451","17027",
"1400000US36001013400","Census Tract 134; Albany County; New York","64653","12814",
"1400000US36001013503","Census Tract 135.03; Albany County; New York","99178","26659",
"1400000US36001013505","Census Tract 135.05; Albany County; New York","90920","6515",
"1400000US36001013507","Census Tract 135.07; Albany County; New York","77266","24976",
"1400000US36001013509","Census Tract 135.09; Albany County; New York","92500","21511",
"1400000US36001013510","Census Tract 135.10; Albany County; New York","98750","14457",
"1400000US36001013511","Census Tract 135.11; Albany County; New York","138155","18028",
"1400000US36001013512","Census Tract 135.12; Albany County; New York","109010","24083",
"1400000US36001013602","Census Tract 136.02; Albany County; New York","73000","9052",
"1400000US36001013603","Census Tract 136.03; Albany County; New York","89934","25407",
"1400000US36001013604","Census Tract 136.04; Albany County; New York","106747","16967",
"1400000US36001013703","Census Tract 137.03; Albany County; New York","100242","14850",
"1400000US36001013706","Census Tract 137.06; Albany County; New York","166923","25963",
"1400000US36001013707","Census Tract 137.07; Albany County; New York","117386","26637",
"1400000US36001013708","Census Tract 137.08; Albany County; New York","90200","20469",
"1400000US36001013709","Census Tract 137.09; Albany County; New York","118621","22908",
"1400000US36001013802","Census Tract 138.02; Albany County; New York","119000","20508",
"1400000US36001013803","Census Tract 138.03; Albany County; New York","70380","30346",
"1400000US36001013804","Census Tract 138.04; Albany County; New York","79261","30307",
"1400000US36001013901","Census Tract 139.01; Albany County; New York","92250","14784",
"1400000US36001013902","Census Tract 139.02; Albany County; New York","101122","12944",
"1400000US36001014001","Census Tract 140.01; Albany County; New York","78026","15710",
"1400000US36001014002","Census Tract 140.02; Albany County; New York","80823","13211",
"1400000US36001014100","Census Tract 141; Albany County; New York","97120","20154",
"1400000US36001014201","Census Tract 142.01; Albany County; New York","132656","36589",
"1400000US36001014202","Census Tract 142.02; Albany County; New York","123144","16634",
"1400000US36001014203","Census Tract 142.03; Albany County; New York","143916","11030",
"1400000US36001014301","Census Tract 143.01; Albany County; New York","76505","11356",
"1400000US36001014303","Census Tract 143.03; Albany County; New York","144795","19829",
"1400000US36001014304","Census Tract 143.04; Albany County; New York","89653","25494",
"1400000US36001014401","Census Tract 144.01; Albany County; New York","92269","21461",
"1400000US36001014402","Census Tract 144.02; Albany County; New York","68873","12599",
"1400000US36001014501","Census Tract 145.01; Albany County; New York","116484","5940",
"1400000US36001014502","Census Tract 145.02; Albany County; New York","114315","21087",
"1400000US36001014503","Census Tract 145.03; Albany County; New York","102885","20035",
"1400000US36001014606","Census Tract 146.06; Albany County; New York","129338","14443",
"1400000US36001014608","Census Tract 146.08; Albany County; New York","77244","24737",
"1400000US36001014609","Census Tract 146.09; Albany County; New York","84555","9720",
"1400000US36001014611","Census Tract 146.11; Albany County; New York","118182","12497",
"1400000US36001014612","Census Tract 146.12; Albany County; New York","104350","18769",
"1400000US36001014613","Census Tract 146.13; Albany County; New York","92256","21665",
"1400000US36001014614","Census Tract 146.14; Albany County; New York","92037","14143",
"1400000US36001014615","Census Tract 146.15; Albany County; New York","91890","20152",
"1400000US36001014616","Census Tract 146.16; Albany County; New York","135795","21362",
"1400000US36001014617","Census Tract 146.17; Albany County; New York","136103","25615",
"1400000US36001014700","Census Tract 147; Albany County; New York","112500","12914",
"1400000US36001014801","Census Tract 148.01; Albany County; New York","75595","25657",
"1400000US36001014802","Census Tract 148.02; Albany County; New York","95673","31950",
"1400000US36001014803","Census Tract 148.03; Albany County; New York","83220","22217",
"1400000US36003940200","Census Tract 9402; Allegany County; New York","-","**",
"1400000US36003950100","Census Tract 9501; Allegany County; New York","63636","5391",
"1400000US36003950300","Census Tract 9503; Allegany County; New York","74028","5309",
"1400000US36003950401","Census Tract 9504.01; Allegany County; New York","61813","15769",
"1400000US36003950402","Census Tract 9504.02; Allegany County; New York","58472","11003",
"1400000US36003950500","Census Tract 9505; Allegany County; New York","61318","4215",
"1400000US36003950600","Census Tract 9506; Allegany County; New York","51111","8335",
"1400000US36003950700","Census Tract 9507; Allegany County; New York","54776","11137",
"1400000US36003950800","Census Tract 9508; Allegany County; New York","63750","9660",
"1400000US36003950900","Census Tract 9509; Allegany County; New York","49598","3711",
"1400000US36003951000","Census Tract 9510; Allegany County; New York","65144","9189",
"1400000US36003951100","Census Tract 9511; Allegany County; New York","58686","7011",
"1400000US36003951201","Census Tract 9512.01; Allegany County; New York","45375","8626",
"1400000US36003951202","Census Tract 9512.02; Allegany County; New York","54276","4350",
"1400000US36003951301","Census Tract 9513.01; Allegany County; New York","56702","1900",
"1400000US36003951302","Census Tract 9513.02; Allegany County; New York","59917","8179",
"1400000US36005000100","Census Tract 1; Bronx County; New York","-","**",
"1400000US36005000200","Census Tract 2; Bronx County; New York","115064","51789",
"1400000US36005000400","Census Tract 4; Bronx County; New York","100553","31493",
"1400000US36005001600","Census Tract 16; Bronx County; New York","41362","11967",
"1400000US36005001901","Census Tract 19.01; Bronx County; New York","49500","19070",
"1400000US36005001902","Census Tract 19.02; Bronx County; New York","67375","24301",
"1400000US36005001903","Census Tract 19.03; Bronx County; New York","-","**",
"1400000US36005001904","Census Tract 19.04; Bronx County; New York","-","**",
"1400000US36005002001","Census Tract 20.01; Bronx County; New York","24684","5066",
"1400000US36005002002","Census Tract 20.02; Bronx County; New York","-","**",
"1400000US36005002300","Census Tract 23; Bronx County; New York","19743","6261",
"1400000US36005002400","Census Tract 24; Bronx County; New York","-","**",
"1400000US36005002500","Census Tract 25; Bronx County; New York","27378","10797",
"1400000US36005002701","Census Tract 27.01; Bronx County; New York","21427","4951",
"1400000US36005002702","Census Tract 27.02; Bronx County; New York","29206","12504",
"1400000US36005002800","Census Tract 28; Bronx County; New York","64308","17895",
"1400000US36005003100","Census Tract 31; Bronx County; New York","41370","14881",
"1400000US36005003300","Census Tract 33; Bronx County; New York","24122","10692",
"1400000US36005003500","Census Tract 35; Bronx County; New York","34185","5201",
"1400000US36005003700","Census Tract 37; Bronx County; New York","-","**",
"1400000US36005003800","Census Tract 38; Bronx County; New York","88077","63173",
"1400000US36005003900","Census Tract 39; Bronx County; New York","20640","11293",
"1400000US36005004001","Census Tract 40.01; Bronx County; New York","70536","13570",
"1400000US36005004100","Census Tract 41; Bronx County; New York","27328","13177",
"1400000US36005004200","Census Tract 42; Bronx County; New York","52423","30543",
"1400000US36005004300","Census Tract 43; Bronx County; New York","34890","13851",
